WaypointType,Waypoint.x,Waypoint.y,Waypoint.angle,WaitTime,ArmPosition,IntakeState,ClawOpen,ArmOffsetTime,TimedClawRelease
0,19.5,160,0,0,0,0,0,1500,0
0,133,114,0,0,1,0,0,0,0
0,133,114,0,0,1,0,1,2000,0
1,100,84,90,0,0,0,1,0,0
1,133,54,180,0,0,0,1,0,0
1,230,44,180,0,0,0,1,0,0
0,280,79,170,0,0,0,1,0,0
0,280,79,180,0,0,3,0,0,0
0,240,79,180,0,0,3,0,0,0
0,240,79,180,0,0,1,0,0,0
0,270,79,180,0,0,1,0,0,0
0,270,79,180,0,0,0,1,1500,300
0,230,91,160,0,1,0,1,0,0
3,0,0,0,500,1,0,1,0,0
5,0,0,0,0,0,0,0,0,0